critic_loss,duration,episode,episode_reward,step
-2283.004828559028,0.693000078201294,377.0,72.0,28556
-2360.014142237672,1.0480012893676758,378.0,109.0,28665
-2405.03664456881,1.4819984436035156,379.0,156.0,28821
-2498.7241429570895,0.6399979591369629,380.0,67.0,28888
-2559.1105513139205,0.428997278213501,381.0,44.0,28932
-2326.8337286086307,0.6129989624023438,382.0,63.0,28995
-2601.05390744093,0.839998722076416,383.0,41.0,29037
-2524.8805222284227,0.819000244140625,384.0,84.0,29121
-2702.69482421875,0.33100008964538574,385.0,35.0,29156
-2574.644788073255,0.7519998550415039,386.0,77.0,29233
-2546.0852850552264,1.1150000095367432,387.0,116.0,29349
-2757.1757873535157,0.38900113105773926,388.0,40.0,29389
-2638.8089396158853,0.5739989280700684,389.0,60.0,29449
-2592.2927561792835,1.1319992542266846,390.0,116.0,29565
-2594.7202499852037,1.3046302795410156,391.0,132.0,29697
-2715.5043982303505,0.6286816596984863,392.0,66.0,29763
-2640.6968122209823,0.5380487442016602,393.0,56.0,29819
-2746.182471264368,0.8452377319335938,394.0,87.0,29906
-2724.053984670928,0.6315736770629883,395.0,66.0,29972
-2782.0273673765123,0.696613073348999,396.0,31.0,30004
-2777.82236180161,0.6444597244262695,397.0,66.0,30070
-2763.795514275046,0.65045166015625,398.0,68.0,30138
-2926.630814855239,1.6979997158050537,399.0,170.0,30308
-2793.1704915364585,0.371326208114624,400.0,39.0,30347
-2899.0861388089365,1.6786813735961914,401.0,171.0,30518
-2927.724395409059,0.890326976776123,402.0,89.0,30607
-2870.6229642427884,1.2474429607391357,403.0,130.0,30737
-2938.823974609375,0.2579982280731201,404.0,27.0,30764
-2914.7348402491157,0.5060012340545654,405.0,53.0,30817
-2859.9314411122314,0.8909986019134521,406.0,93.0,30910
-2953.906429272343,2.5326287746429443,407.0,207.0,31118
-3143.330314515129,1.2253479957580566,408.0,126.0,31244
-2959.4957885742188,0.3834350109100342,409.0,40.0,31284
-3103.0048217773438,0.988736629486084,410.0,88.0,31372
-3164.410791015625,0.4790012836456299,411.0,50.0,31422
-3191.1212942940847,0.838860034942627,412.0,84.0,31506
-2999.208917025862,0.5616974830627441,413.0,58.0,31564
-3031.7772993607955,0.5309991836547852,414.0,55.0,31619
-3234.080936408191,1.5421082973480225,415.0,161.0,31780
-3119.5342475043403,0.3591320514678955,416.0,36.0,31816
-3262.9225630326705,0.5250701904296875,417.0,55.0,31871
-3199.4304367591594,0.27500152587890625,418.0,29.0,31900
-3216.8079384251646,0.5389993190765381,419.0,57.0,31957
-3056.9980289234836,1.1070008277893066,420.0,68.0,32026
-3365.869810446715,0.3731365203857422,421.0,39.0,32065
-3154.886661610705,0.45599961280822754,422.0,47.0,32112
-3171.179151965726,0.5941431522369385,423.0,62.0,32174
-3451.3856553819446,0.42599987983703613,424.0,45.0,32219
-3269.8162472226204,1.02699875831604,425.0,109.0,32328
-3366.33688228088,1.6200006008148193,426.0,169.0,32497
-3190.3457785866476,0.517000675201416,427.0,55.0,32552
-3545.4642965877756,1.6820003986358643,428.0,170.0,32722
-3427.1367065429686,0.8469481468200684,429.0,80.0,32802
