#{"t_start": 1695645162.9988813, "env_id": "CartPole-v1"}
r,l,t
37.0,37,432.433562
49.0,49,432.461561
51.0,51,432.491561
67.0,67,432.52856
67.0,67,432.56756
73.0,73,440.104312
63.0,63,440.119313
59.0,59,440.135313
64.0,64,440.151315
116.0,116,440.177315
55.0,55,440.191314
90.0,90,440.213313
73.0,73,440.230315
112.0,112,440.258314
40.0,40,440.267315
146.0,146,444.878915
31.0,31,444.885913
103.0,103,444.909915
76.0,76,444.927914
45.0,45,444.937913
57.0,57,444.951913
96.0,96,444.973914
60.0,60,444.987915
144.0,144,445.021914
71.0,71,445.038914
61.0,61,449.614102
61.0,61,449.628102
60.0,60,449.643102
73.0,73,449.660105
60.0,60,449.675102
67.0,67,449.690104
40.0,40,449.700105
45.0,45,449.711103
49.0,49,449.722102
61.0,61,449.736103
56.0,56,454.338103
55.0,55,454.352104
62.0,62,454.367102
51.0,51,454.380104
106.0,106,454.405102
59.0,59,454.420102
79.0,79,454.438102
99.0,99,454.462102
53.0,53,454.475102
42.0,42,454.485102
68.0,68,459.292948
54.0,54,459.304948
104.0,104,459.328949
39.0,39,459.338948
109.0,109,459.364949
64.0,64,459.37995
64.0,64,459.39395
63.0,63,459.408947
47.0,47,459.41995
107.0,107,459.444949
44.0,44,464.146542
87.0,87,464.166513
43.0,43,464.176513
40.0,40,464.186514
131.0,131,464.217515
46.0,46,464.228514
57.0,57,464.24164
78.0,78,464.259591
61.0,61,464.273581
149.0,149,464.308581
61.0,61,468.900801
53.0,53,468.9138
56.0,56,468.926801
45.0,45,468.936799
98.0,98,468.960397
60.0,60,468.974399
62.0,62,468.989398
58.0,58,469.003398
90.0,90,469.024399
81.0,81,469.044398
215.0,215,473.809775
45.0,45,473.820774
42.0,42,473.830775
46.0,46,473.842774
38.0,38,473.851774
62.0,62,473.865774
74.0,74,473.906779
115.0,115,473.934774
48.0,48,473.946776
41.0,41,473.956774
69.0,69,478.608231
39.0,39,478.619232
54.0,54,478.633234
41.0,41,478.643234
197.0,197,478.693231
74.0,74,478.711231
40.0,40,478.721231
85.0,85,478.742232
58.0,58,478.758231
48.0,48,478.769232
75.0,75,483.425751
63.0,63,483.440751
185.0,185,483.48375
61.0,61,483.497749
136.0,136,483.52975
63.0,63,483.54475
77.0,77,483.56375
66.0,66,483.57875
46.0,46,483.589749
44.0,44,483.599749
59.0,59,488.263864
51.0,51,488.275864
49.0,49,488.286864
95.0,95,488.309865
50.0,50,488.322865
44.0,44,488.332864
173.0,173,488.373864
123.0,123,488.401865
103.0,103,488.425864
49.0,49,488.436864
77.0,77,493.124521
45.0,45,493.13552
133.0,133,493.167522
72.0,72,493.18552
49.0,49,493.19752
46.0,46,493.208524
77.0,77,493.226522
47.0,47,493.23752
66.0,66,493.25352
65.0,65,493.268523
93.0,93,497.989356
56.0,56,498.003357
37.0,37,498.013355
79.0,79,498.032357
69.0,69,498.049829
49.0,49,498.062544
160.0,160,498.100543
58.0,58,498.115542
129.0,129,498.150543
43.0,43,498.162543
62.0,62,502.940972
62.0,62,502.956754
55.0,55,502.970755
44.0,44,502.980755
57.0,57,502.993753
63.0,63,503.009755
39.0,39,503.018754
40.0,40,503.027755
50.0,50,503.039754
70.0,70,503.056289
52.0,52,507.751679
306.0,306,507.825679
41.0,41,507.83568
85.0,85,507.855679
55.0,55,507.86868
78.0,78,507.886679
37.0,37,507.895679
49.0,49,507.907679
43.0,43,507.917679
39.0,39,507.926678
50.0,50,512.550638
89.0,89,512.575638
35.0,35,512.584638
40.0,40,512.594638
55.0,55,512.607637
34.0,34,512.616638
56.0,56,512.629638
133.0,133,512.660638
47.0,47,512.671638
53.0,53,512.684637
72.0,72,517.224639
35.0,35,517.232638
56.0,56,517.246638
41.0,41,517.255638
84.0,84,517.275639
39.0,39,517.288641
71.0,71,517.305638
42.0,42,517.315637
55.0,55,517.327638
40.0,40,517.337639
127.0,127,522.099825
59.0,59,522.114825
68.0,68,522.131825
39.0,39,522.141825
72.0,72,522.158824
53.0,53,522.171825
42.0,42,522.181824
53.0,53,522.194824
101.0,101,522.217824
92.0,92,522.239825
53.0,53,526.930574
81.0,81,526.951576
36.0,36,526.960574
59.0,59,526.974574
55.0,55,526.987576
48.0,48,526.999575
37.0,37,527.007575
75.0,75,527.024832
46.0,46,527.035832
82.0,82,527.054832
37.0,37,531.828803
45.0,45,531.839803
40.0,40,531.849803
73.0,73,531.867804
44.0,44,531.878803
53.0,53,531.891803
61.0,61,531.906803
51.0,51,531.919804
43.0,43,531.93005
39.0,39,531.93857
37.0,37,536.606462
34.0,34,536.613461
41.0,41,536.623462
68.0,68,536.639825
41.0,41,536.649823
55.0,55,536.662824
62.0,62,536.676823
58.0,58,536.689823
43.0,43,536.700823
